infinitiv	tip	sigurnost	predlozeni_oblik
zabeliti	-iti	visoka	zabelili
zabeliti	-iti	visoka	zabelile
zabezeknuti	-nuti	visoka	zabezeknem
zabezeknuti	-nuti	visoka	zabezekneš
zabezeknuti	-nuti	visoka	zabezeknemo
zabezeknuti	-nuti	visoka	zabezeknete
zabezeknuti	-nuti	visoka	zabezeknulo
zabezeknuti	-nuti	visoka	zabezeknuli
zabezeknuti	-nuti	visoka	zabezeknule
zabezeknuti	-nuti	visoka	zabezekni
zabezeknuti	-nuti	visoka	zabezeknite
zabiberiti	-iti	visoka	zabiberim
zabiberiti	-iti	visoka	zabiberiš
zabiberiti	-iti	visoka	zabiberimo
zabiberiti	-iti	visoka	zabiberite
zabiberiti	-iti	visoka	zabibere
zabiberiti	-iti	visoka	zabiberilo
zabiberiti	-iti	visoka	zabiberili
zabiberiti	-iti	visoka	zabiberile
zabiti	-iti	visoka	zabim
zabiti	-iti	visoka	zabiš
zabiti	-iti	visoka	zabi
zabiti	-iti	visoka	zabimo
zabiti	-iti	visoka	zabite
zabiti	-iti	visoka	zabe
zabiti	-iti	visoka	zabilo
zabiti	-iti	visoka	zabile
zablejati	-ati	visoka	zablejam
zablejati	-ati	visoka	zablejaš
zablejati	-ati	visoka	zableja
zablejati	-ati	visoka	zablejamo
zablejati	-ati	visoka	zablejate
zablejati	-ati	visoka	zablejaju
zablejati	-ati	visoka	zablejaj
zablejati	-ati	visoka	zablejajte
zablejati	-ati	visoka	zablejao
zablejati	-ati	visoka	zablejala
zablejati	-ati	visoka	zablejalo
zablejati	-ati	visoka	zablejali
zablejati	-ati	visoka	zablejale
zablenuti	-nuti	visoka	zablenem
zablenuti	-nuti	visoka	zableneš
zablenuti	-nuti	visoka	zablenemo
zablenuti	-nuti	visoka	zablenete
zablenuti	-nuti	visoka	zablenuo
zablenuti	-nuti	visoka	zablenula
zablenuti	-nuti	visoka	zablenulo
zablenuti	-nuti	visoka	zablenuli
zablenuti	-nuti	visoka	zablenule
zablenuti	-nuti	visoka	zableni
zablenuti	-nuti	visoka	zablenite
zabljesnuti	-nuti	visoka	zabljesnem
zabljesnuti	-nuti	visoka	zabljesneš
zabljesnuti	-nuti	visoka	zabljesnemo
zabljesnuti	-nuti	visoka	zabljesnete
zabljesnuti	-nuti	visoka	zabljesnuo
zabljesnuti	-nuti	visoka	zabljesnula
zabljesnuti	-nuti	visoka	zabljesnulo
zabljesnuti	-nuti	visoka	zabljesnuli
zabljesnuti	-nuti	visoka	zabljesnule
zabljesnuti	-nuti	visoka	zabljesni
zabljesnuti	-nuti	visoka	zabljesnite
zaboljeti	-eti	proveri	zaboljim
zaboljeti	-eti	proveri	zaboljiš
zaboljeti	-eti	proveri	zabolji
zaboljeti	-eti	proveri	zaboljimo
zaboljeti	-eti	proveri	zaboljite
zaboljeti	-eti	proveri	zabolje
zaboljeti	-eti	proveri	zaboljeo
zaboljeti	-eti	proveri	zaboljeli
zabranjivati	-ati	visoka	zabranjivam
zabranjivati	-ati	visoka	zabranjivaš
zabranjivati	-ati	visoka	zabranjiva
zabranjivati	-ati	visoka	zabranjivamo
zabranjivati	-ati	visoka	zabranjivate
zabranjivati	-ati	visoka	zabranjivaju
zabranjivati	-ati	visoka	zabranjivaj
zabranjivati	-ati	visoka	zabranjivajte
zabranjivati	-ati	visoka	zabranjivalo
zabranjivati	-ati	visoka	zabranjivale
zabraviti	-iti	visoka	zabravim
zabraviti	-iti	visoka	zabraviš
zabraviti	-iti	visoka	zabravi
zabraviti	-iti	visoka	zabravimo
zabraviti	-iti	visoka	zabrave
zabraviti	-iti	visoka	zabravila
zabraviti	-iti	visoka	zabravilo
zabraviti	-iti	visoka	zabravili
zabraviti	-iti	visoka	zabravile
zabrazditi	-iti	visoka	zabrazdim
zabrazditi	-iti	visoka	zabrazdiš
zabrazditi	-iti	visoka	zabrazdi
zabrazditi	-iti	visoka	zabrazdimo
zabrazditi	-iti	visoka	zabrazdite
zabrazditi	-iti	visoka	zabrazdilo
zabrazditi	-iti	visoka	zabrazdili
zabrazditi	-iti	visoka	zabrazdile
zabrkati	-ati (palatalizacija?)	proveri	zabrkam
zabrkati	-ati (palatalizacija?)	proveri	zabrkaš
zabrkati	-ati (palatalizacija?)	proveri	zabrka
zabrkati	-ati (palatalizacija?)	proveri	zabrkamo
zabrkati	-ati (palatalizacija?)	proveri	zabrkate
zabrkati	-ati (palatalizacija?)	proveri	zabrkaju
zabrkati	-ati (palatalizacija?)	proveri	zabrkaj
zabrkati	-ati (palatalizacija?)	proveri	zabrkajte
zabrkati	-ati (palatalizacija?)	proveri	zabrčem
